0,0,NOV 25,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,5.85
1,4,NOV 27,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.67
2,8,NOV 27,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.67
3,12,NOV 29,CHARTWELLSSFURAVEQPS BURNABY BC,1.80
4,15,NOV 30,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.07
5,19,DEC 01,SFU PARKING SERVICES BURNABY BC,-69.88
6,23,DEC 01,CHARTWELLSSFURAVEQPS BURNABY BC,1.80
7,27,DEC 01,SFU BOOKSTORE BURNABY BURNABY BC,6.72
8,30,DEC 01,PETROCAN-7890 CANADA WAY BURNABY BC,29.86
9,34,DEC 02,CHARTWELLSSFURAVEQPS BURNABY BC,2.35
10,38,DEC 02,CHARTWELLSSFURAVEQPS BURNABY BC,1.80
11,42,DEC 03,CHARTWELLSSFURAVEQPS BURNABY BC,1.80
12,45,DEC 04,TELUS DESKTOP PAYMENT EDMONTON AB,68.55
13,48,DEC 04,CHEVRON 8TH/MCBRIDE NEW WESTMINS BC,22.88
14,50,DEC 05,DESI TURKA INDIAN CUISINEBURNABY BC,42.58
15,52,DEC 05,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,2.82
0,0,SEP 26,SIMON FRASER UNIVERSITY BURNABY BC,3.25
1,4,SEP 26,DRIVER SERV.CENTRE #92269BURNABY BC,281.00
2,8,SEP 27,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.40
3,12,SEP 27,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.69
4,15,SEP 28,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.00
5,19,SEP 29,SUBWAY 45023 BURNABY BC,5.25
6,23,SEP 29,TACO DEL MAR N WESTMINSTERBC,6.29
7,27,SEP 29,VIOLATION PROCESSING CTR VANCOUVER BC,20.00
8,30,SEP 30,IMPARK00010123U 877-909-6199 BC,5.00
9,34,SEP 30,SIMON FRASER UNIVERSITY BURNABY BC,5.00
10,38,OCT 01,SFU PARKING SERVICES BURNABY BC,209.63
11,42,OCT 01,SIMON FRASER UNIVERSITY BURNABY BC,5.00
12,45,OCT 03,SIMON FRASER UNIVERSITY BURNABY BC,5.00
13,48,OCT 03,PETROCAN-7890 CANADA WAY BURNABY BC,46.07
14,50,OCT 04,PAYMENT - THANK YOU / PAIEMENT - MERCI,-826.14
15,52,OCT 05,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.49
0,0,JUL 25,A&W #0396 NEW WESTMINSTBC,7.04
1,4,JUL 26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,13.42
2,8,JUL 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.35
3,12,JUL 30,DONAIR TOWN IN SFU BURNABY BC,5.25
4,15,JUL 30,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,1.50
5,19,AUG 01,SFSS FOOD & BEVERAGE BURNABY BC,4.99
6,23,AUG 03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,-121.30
7,27,AUG 03,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.81
8,30,AUG 04,TACO DEL MAR N WESTMINSTERBC,5.87
9,34,AUG 05,PAYMENT - THANK YOU / PAIEMENT - MERCI,-186.19
10,38,AUG 07,ROGERS *694250366 888-764-3771 ON,118.19
11,42,AUG 09,TELUS COMM. WEB EDMONTON AB,23.69
12,45,AUG 11,STARBUCKS 09039 BURNABY BC,4.99
13,48,AUG 11,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.10
