c1,c2,date,place,amount,year
0,0,SEP 26,SIMON FRASER UNIVERSITY BURNABY BC,3.25,2014
1,4,SEP 26,DRIVER SERV.CENTRE #92269BURNABY BC,281.00,2014
2,8,SEP 27,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.40,2014
3,12,SEP 27,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.69,2014
4,15,SEP 28,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.00,2014
5,19,SEP 29,SUBWAY 45023 BURNABY BC,5.25,2014
6,23,SEP 29,TACO DEL MAR N WESTMINSTERBC,6.29,2014
7,27,SEP 29,VIOLATION PROCESSING CTR VANCOUVER BC,20.00,2014
8,30,SEP 30,IMPARK00010123U 877-909-6199 BC,5.00,2014
9,34,SEP 30,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2014
10,38,OCT 01,SFU PARKING SERVICES BURNABY BC,209.63,2014
11,42,OCT 01,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2014
12,45,OCT 03,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2014
13,48,OCT 03,PETROCAN-7890 CANADA WAY BURNABY BC,46.07,2014
14,50,OCT 04,PAYMENT - THANK YOU / PAIEMENT - MERCI,-826.14,2014
15,52,OCT 05,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.49,2014
0,0,JUL 25,A&W #0396 NEW WESTMINSTBC,7.04,2014
1,4,JUL 26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,13.42,2014
2,8,JUL 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.35,2014
3,12,JUL 30,DONAIR TOWN IN SFU BURNABY BC,5.25,2014
4,15,JUL 30,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,1.50,2014
5,19,AUG 01,SFSS FOOD & BEVERAGE BURNABY BC,4.99,2014
6,23,AUG 03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,-121.30,2014
7,27,AUG 03,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.81,2014
8,30,AUG 04,TACO DEL MAR N WESTMINSTERBC,5.87,2014
9,34,AUG 05,PAYMENT - THANK YOU / PAIEMENT - MERCI,-186.19,2014
10,38,AUG 07,ROGERS *694250366 888-764-3771 ON,118.19,2014
11,42,AUG 09,TELUS COMM. WEB EDMONTON AB,23.69,2014
12,45,AUG 11,STARBUCKS 09039 BURNABY BC,4.99,2014
13,48,AUG 11,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.10,2014
14,50,AUG 11,PAPA JOHN'S PIZZA NEW WESTMINSTBC,8.39,2014
15,52,AUG 12,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,178.60,2014
0,5,DEC 27 DEC 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.41,2014
1,9,DEC 27 DEC 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.36,2014
2,13,DEC 28 DEC 31,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.53,2014
3,17,DEC 29 DEC 31,FONG HOLDINGS LTD - AUTO BURNABY BC,7.50,2014
4,20,DEC 29 JAN 02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,174.72,2014
5,24,DEC 29 DEC 30,ESSO 736 6TH AVENUE NEW WESTMINSTBC,42.37,2014
6,28,DEC 31 JAN 02,PAPA JOHN'S PIZZA NEW NEW WESTMINSTBC,10.49,2014
7,32,JAN 01 JAN 02,ESSO 736 6TH AVENUE NEW WESTMINSTBC,1.70,2014
8,35,JAN 01 JAN 02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.01,2014
9,39,JAN 01 JAN 02,ANNUAL FEE,39.00,2014
10,41,JAN 02 JAN 05,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.91,2014
11,45,JAN 02 JAN 02,ANNUAL FEE REBATE,-39.00,2014
12,47,JAN 03 JAN 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.49,2014
13,50,JAN 03 JAN 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,24.19,2014
14,53,JAN 03 JAN 05,TELUS COMM. WEB EDMONTON AB,22.40,2014
15,55,JAN 03 JAN 05,TELUS MOBILITY SCARBOROUGH ON,74.82,2014
16,57,JAN 04 JAN 07,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,12.10,2014
0,0,OCT 28,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.67,2014
1,4,OCT 30,PETROCAN-7890 CANADA WAY BURNABY BC,50.00,2014
2,8,OCT 30,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46,2014
3,12,OCT 31,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46,2014
4,15,NOV 01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.32,2014
