Date,Place,amount,Month,Year,Day,City
2014-09-26,SIMON FRASER UNIVERSITY BURNABY BC,3.25,SEP,2014,26,BURNABY
2014-09-26,DRIVER SERV.CENTRE #92269BURNABY BC,281.0,SEP,2014,26,BURNABY
2014-09-27,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.4,SEP,2014,27,RICHMOND
2014-09-27,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.69,SEP,2014,27,NEW WESTMINSTER
2014-09-28,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.0,SEP,2014,28,NEW WESTMINSTER
2014-09-29,SUBWAY 45023 BURNABY BC,5.25,SEP,2014,29,BURNABY
2014-09-29,TACO DEL MAR N WESTMINSTERBC,6.29,SEP,2014,29,NEW WESTMINSTER
2014-09-29,VIOLATION PROCESSING CTR VANCOUVER BC,20.0,SEP,2014,29,VANCOUVER
2014-09-30,IMPARK00010123U 877-909-6199 BC,5.0,SEP,2014,30,Unknown
2014-09-30,SIMON FRASER UNIVERSITY BURNABY BC,5.0,SEP,2014,30,BURNABY
2014-10-01,SFU PARKING SERVICES BURNABY BC,209.63,OCT,2014,01,BURNABY
2014-10-01,SIMON FRASER UNIVERSITY BURNABY BC,5.0,OCT,2014,01,BURNABY
2014-10-03,SIMON FRASER UNIVERSITY BURNABY BC,5.0,OCT,2014,03,BURNABY
2014-10-03,PETROCAN-7890 CANADA WAY BURNABY BC,46.07,OCT,2014,03,BURNABY
2014-10-05,PETROCAN-5111 GRT MCCHONARICHMOND BC,2.49,OCT,2014,05,RICHMOND
2014-07-25,A&W #0396 NEW WESTMINSTBC,7.04,JUL,2014,25,NEW WESTMINSTER
2014-07-26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,13.42,JUL,2014,26,NEW WESTMINSTER
2014-07-30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.35,JUL,2014,30,NEW WESTMINSTER
2014-07-30,DONAIR TOWN IN SFU BURNABY BC,5.25,JUL,2014,30,BURNABY
2014-07-30,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,1.5,JUL,2014,30,NEW WESTMINSTER
2014-08-01,SFSS FOOD & BEVERAGE BURNABY BC,4.99,AUG,2014,01,BURNABY
2014-08-03,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.81,AUG,2014,03,NEW WESTMINSTER
2014-08-04,TACO DEL MAR N WESTMINSTERBC,5.87,AUG,2014,04,NEW WESTMINSTER
2014-08-07,ROGERS *694250366 888-764-3771 ON,118.19,AUG,2014,07,Unknown
2014-08-09,TELUS COMM. WEB EDMONTON AB,23.69,AUG,2014,09,Unknown
2014-08-11,STARBUCKS 09039 BURNABY BC,4.99,AUG,2014,11,BURNABY
2014-08-11,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.1,AUG,2014,11,NEW WESTMINSTER
2014-08-11,PAPA JOHN'S PIZZA NEW WESTMINSTBC,8.39,AUG,2014,11,NEW WESTMINSTER
2014-08-12,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,178.6,AUG,2014,12,NEW WESTMINSTER
2014-12-27,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.41,DEC,2014,27,NEW WESTMINSTER
2014-12-27,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.36,DEC,2014,27,NEW WESTMINSTER
2014-12-28,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.53,DEC,2014,28,NEW WESTMINSTER
2014-12-29,FONG HOLDINGS LTD - AUTO BURNABY BC,7.5,DEC,2014,29,BURNABY
2014-12-29,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,174.72,DEC,2014,29,NEW WESTMINSTER
2014-12-29,ESSO 736 6TH AVENUE NEW WESTMINSTBC,42.37,DEC,2014,29,NEW WESTMINSTER
2014-12-31,PAPA JOHN'S PIZZA NEW NEW WESTMINSTBC,10.49,DEC,2014,31,NEW WESTMINSTER
2014-01-01,ESSO 736 6TH AVENUE NEW WESTMINSTBC,1.7,JAN,2014,01,NEW WESTMINSTER
2014-01-01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.01,JAN,2014,01,NEW WESTMINSTER
2014-01-01,ANNUAL FEE,39.0,JAN,2014,01,Unknown
2014-01-02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.91,JAN,2014,02,NEW WESTMINSTER
2014-01-03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.49,JAN,2014,03,NEW WESTMINSTER
2014-01-03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,24.19,JAN,2014,03,NEW WESTMINSTER
2014-01-03,TELUS COMM. WEB EDMONTON AB,22.4,JAN,2014,03,Unknown
2014-01-03,TELUS MOBILITY SCARBOROUGH ON,74.82,JAN,2014,03,Unknown
2014-01-04,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,12.1,JAN,2014,04,NEW WESTMINSTER
2014-10-28,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.67,OCT,2014,28,NEW WESTMINSTER
2014-10-30,PETROCAN-7890 CANADA WAY BURNABY BC,50.0,OCT,2014,30,BURNABY
2014-10-30,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46,OCT,2014,30,NEW WESTMINSTER
2014-10-31,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46,OCT,2014,31,NEW WESTMINSTER
2014-11-01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.32,NOV,2014,01,NEW WESTMINSTER
2014-11-02,7 ELEVEN STORE #34525 NEW WESTMINSTBC,3.45,NOV,2014,02,TORONTO
2014-11-03,7 ELEVEN #37122 WESTMINST BC,3.15,NOV,2014,03,NEW WESTMINSTER
2014-11-04,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,3.76,NOV,2014,04,NEW WESTMINSTER
2014-11-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.7,NOV,2014,05,NEW WESTMINSTER
2014-11-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.7,NOV,2014,05,NEW WESTMINSTER
2014-11-06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,14.2,NOV,2014,06,NEW WESTMINSTER
2014-11-06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.09,NOV,2014,06,NEW WESTMINSTER
2014-11-06,CHEVRON 8TH/MCBRIDE NEW WESTMINS BC,25.04,NOV,2014,06,NEW WESTMINSTER
2014-06-26,TIM HORTONS 3329 QPS NEW WESTMINSTBC,2.74,JUN,2014,26,NEW WESTMINSTER
2014-06-27,TIM HORTONS 3329 QPS NEW WESTMINSTBC,1.41,JUN,2014,27,NEW WESTMINSTER
2014-06-28,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,1.5,JUN,2014,28,NEW WESTMINSTER
2014-07-01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.0,JUL,2014,01,NEW WESTMINSTER
2014-07-02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.0,JUL,2014,02,NEW WESTMINSTER
2014-07-02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.31,JUL,2014,02,NEW WESTMINSTER
2014-07-04,ROGERS *694250366 888-764-3771 ON,107.3,JUL,2014,04,Unknown
2014-07-04,SUBWAY 45023 BURNABY BC,5.25,JUL,2014,04,BURNABY
2014-07-05,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.32,JUL,2014,05,NEW WESTMINSTER
2014-07-06,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.5,JUL,2014,06,NEW WESTMINSTER
2014-07-12,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.35,JUL,2014,12,NEW WESTMINSTER
2014-07-13,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,6.01,JUL,2014,13,NEW WESTMINSTER
2015-08-26,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.0,AUG,2015,26,NEW WESTMINSTER
2015-08-26,MCDONALD'S #40094 NEW WESTMINSTBC,5.27,AUG,2015,26,NEW WESTMINSTER
2015-08-26,MCDONALD'S #40094 NEW WESTMINSTBC,1.05,AUG,2015,26,NEW WESTMINSTER
2015-08-27,FAMOUS PLAYER 1412QPS COQUITLAM BC,6.13,AUG,2015,27,COQUITLAM
2015-08-27,FAMOUS PLAYER 1412QPS COQUITLAM BC,5.85,AUG,2015,27,COQUITLAM
2015-08-27,ANYTIME FITNESS NEW WESTMINSTBC,2.5,AUG,2015,27,NEW WESTMINSTER
2015-08-27,KFC/TB SURREY CENTRE SURREY BC,7.65,AUG,2015,27,SURREY
2015-08-28,UNDER ARMOUR VANCOUVER RICHMOND BC,78.39,AUG,2015,28,VANCOUVER
2015-08-28,INDIAN WOK RESTAURANT BURNABY BC,17.76,AUG,2015,28,BURNABY
2015-08-29,SUSHI OYAMA BURNABY BC,13.76,AUG,2015,29,BURNABY
2015-08-29,MCDONALD'S #40094 NEW WESTMINSTBC,1.41,AUG,2015,29,NEW WESTMINSTER
2015-08-29,MCDONALD'S #40094 NEW WESTMINSTBC,2.91,AUG,2015,29,NEW WESTMINSTER
2015-08-29,A&W #0396 NEW WESTMINSTBC,4.2,AUG,2015,29,NEW WESTMINSTER
2015-08-30,DAIRY QUEEN #26966 NEW WESTMINSTBC,4.19,AUG,2015,30,NEW WESTMINSTER
2015-08-30,FRESH SLICE PIZZA NEW WESTMINSTBC,4.0,AUG,2015,30,NEW WESTMINSTER
2015-09-01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,20.13,SEP,2015,01,NEW WESTMINSTER
2015-09-01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,0.9,SEP,2015,01,NEW WESTMINSTER
2015-09-01,A&W #0396 NEW WESTMINSTBC,4.2,SEP,2015,01,NEW WESTMINSTER
2015-09-01,MCDONALD'S #40094 NEW WESTMINSTBC,4.5,SEP,2015,01,NEW WESTMINSTER
2015-09-02,HI DOZO JAPANESE RESTAURANEW WESTMINSTBC,4.15,SEP,2015,02,NEW WESTMINSTER
2015-09-02,VANCOUVER AIRPORT PARK RICHMOND BC,8.0,SEP,2015,02,VANCOUVER
2015-09-02,ESSO 3965 NORTH ROAD BURNABY BC,40.0,SEP,2015,02,NORTH VANCOUVER
2015-09-03,MCDONALD'S #40094 NEW WESTMINSTBC,5.76,SEP,2015,03,NEW WESTMINSTER
2015-09-03,MCDONALD'S #40094 NEW WESTMINSTBC,1.56,SEP,2015,03,NEW WESTMINSTER
2015-09-04,MCDONALD'S #40094 NEW WESTMINSTBC,4.6,SEP,2015,04,NEW WESTMINSTER
2015-09-04,A&W #0396 NEW WESTMINSTBC,2.1,SEP,2015,04,NEW WESTMINSTER
2015-09-04,A&W #0709 VANCOUVER BC,4.73,SEP,2015,04,VANCOUVER
2015-09-05,MCDONALD'S #40094 NEW WESTMINSTBC,5.24,SEP,2015,05,NEW WESTMINSTER
2015-09-05,MCDONALD'S #40094 NEW WESTMINSTBC,1.56,SEP,2015,05,NEW WESTMINSTER
